parcela	codigo	especie	abundancia
parcela10	95	spp_O	54
parcela10	96	spp_L	9
parcela10	97	spp_U	43
parcela10	98	spp_X	36
parcela10	99	spp_O	13
parcela10	100	spp_E	32
parcela10	101	spp_G	38
parcela10	102	spp_E	3
parcela10	103	spp_X	14
parcela10	104	spp_V	37
parcela10	105	spp_Y	52
parcela10	106	spp_H	30
parcela10	107	spp_T	42
parcela10	108	spp_S	25
parcela10	109	spp_T	34
parcela10	110	spp_S	36
parcela10	111	spp_K	29
parcela10	112	spp_P	46
parcela10	113	spp_D	1
parcela10	114	spp_D	50
parcela10	115	spp_D	51
parcela10	116	spp_J	43
parcela10	117	spp_A	13
parcela10	118	spp_U	4
parcela10	119	spp_U	32
parcela10	120	spp_Y	53
parcela10	121	spp_J	10
parcela10	122	spp_D	50
parcela10	123	spp_B	21
parcela10	124	spp_D	20
parcela10	125	spp_B	55
parcela10	126	spp_B	10
parcela10	127	spp_C	44
parcela10	128	spp_O	52
parcela10	129	spp_D	12
parcela10	130	spp_C	50
parcela10	131	spp_D	52
parcela10	132	spp_P	25
parcela10	133	spp_C	54
parcela10	134	spp_C	7
parcela10	135	spp_L	46
parcela10	136	spp_Y	3
parcela10	137	spp_I	55
parcela10	138	spp_X	14
parcela10	139	spp_E	8
parcela10	140	spp_U	10
parcela10	141	spp_H	52
parcela10	142	spp_N	27
parcela10	143	spp_X	12
parcela10	144	spp_Z	15
parcela10	145	spp_O	3
parcela10	146	spp_N	34
parcela10	147	spp_C	37
parcela10	148	spp_L	33
parcela10	149	spp_Z	37
parcela10	150	spp_A	54
parcela10	151	spp_Z	40
parcela10	152	spp_B	42
parcela10	153	spp_V	41
parcela10	154	spp_F	21
parcela10	155	spp_A	48
parcela10	156	spp_B	12
parcela10	157	spp_M	13
parcela10	158	spp_F	24
parcela10	159	spp_T	49
parcela10	160	spp_J	28
parcela10	161	spp_L	3
parcela10	162	spp_Q	9
parcela10	163	spp_G	5
parcela10	164	spp_C	11
parcela10	165	spp_W	29
parcela10	166	spp_L	6
parcela10	167	spp_W	37
parcela10	168	spp_B	25
parcela10	169	spp_R	4
parcela10	170	spp_S	45
parcela10	171	spp_K	52
parcela2	172	spp_V	17
parcela2	173	spp_F	5
parcela2	174	spp_U	42
parcela2	175	spp_D	47
parcela2	176	spp_A	12
parcela2	177	spp_O	31
parcela2	178	spp_I	53
parcela2	179	spp_L	11
parcela2	180	spp_X	2
parcela2	181	spp_Q	45
parcela2	182	spp_W	47
parcela2	183	spp_L	18
parcela2	184	spp_H	10
parcela2	185	spp_C	55
parcela2	186	spp_J	32
parcela2	187	spp_O	38
parcela2	188	spp_Q	6
parcela2	189	spp_Q	44
parcela2	190	spp_X	25
parcela2	191	spp_D	39
parcela2	192	spp_Q	31
parcela2	193	spp_V	12
parcela2	194	spp_N	17
parcela2	195	spp_W	26
parcela2	196	spp_Q	44
parcela2	197	spp_I	50
parcela2	198	spp_B	41
parcela2	199	spp_U	27
parcela2	200	spp_H	11
parcela2	201	spp_P	39
parcela2	202	spp_T	43
parcela2	203	spp_O	10
parcela2	204	spp_Q	39
parcela2	205	spp_L	33
parcela2	206	spp_J	54
parcela2	207	spp_E	18
parcela2	208	spp_E	37
parcela2	209	spp_X	22
parcela2	210	spp_Y	32
parcela2	211	spp_O	12
parcela2	212	spp_E	41
parcela2	213	spp_N	39
parcela2	214	spp_B	45
parcela2	215	spp_G	1
parcela2	216	spp_P	11
parcela2	217	spp_I	38
parcela2	218	spp_Y	11
parcela2	219	spp_J	22
parcela2	220	spp_L	4
parcela2	221	spp_Z	7
parcela2	222	spp_V	34
parcela2	223	spp_Q	7
parcela2	224	spp_I	20
parcela2	225	spp_F	50
parcela2	226	spp_Y	31
parcela2	227	spp_H	2
parcela2	228	spp_T	49
parcela2	229	spp_V	38
parcela2	230	spp_L	8
parcela2	231	spp_D	54
parcela2	232	spp_F	15
parcela2	233	spp_E	14
parcela2	234	spp_D	44
parcela2	235	spp_S	50
parcela2	236	spp_W	8
parcela2	237	spp_B	28
parcela2	238	spp_P	27
parcela2	239	spp_I	18
parcela2	240	spp_C	26
parcela2	241	spp_J	26
parcela2	242	spp_S	27
parcela2	243	spp_M	23
parcela2	244	spp_V	46
parcela2	245	spp_F	54
parcela2	246	spp_E	51
parcela2	247	spp_L	19
parcela2	248	spp_F	1
parcela2	249	spp_X	13
parcela2	250	spp_X	45
parcela2	251	spp_C	9
parcela2	252	spp_P	22
parcela2	253	spp_V	12
parcela2	254	spp_A	9
parcela2	255	spp_H	6
parcela2	256	spp_M	7
parcela2	257	spp_P	16
parcela2	258	spp_Y	36
parcela2	259	spp_G	34
parcela2	260	spp_J	36
parcela2	261	spp_W	6
parcela2	262	spp_F	36
parcela2	263	spp_K	43
parcela2	264	spp_Z	5
parcela2	265	spp_K	4
parcela2	266	spp_L	2
parcela2	267	spp_A	6
parcela2	268	spp_P	29
parcela2	269	spp_X	38
parcela2	270	spp_N	13
parcela2	271	spp_L	10
parcela2	272	spp_H	37
parcela2	273	spp_Z	17
parcela2	274	spp_B	9
parcela2	275	spp_G	24
parcela2	276	spp_F	12
parcela2	277	spp_V	36
parcela2	278	spp_L	34
parcela2	279	spp_S	20
parcela2	280	spp_Y	6
parcela2	281	spp_F	10
parcela2	282	spp_B	13
parcela2	283	spp_E	12
parcela2	284	spp_X	42
parcela2	285	spp_I	40
parcela2	286	spp_C	9
parcela2	287	spp_G	18
parcela2	288	spp_J	41
parcela2	289	spp_U	38
parcela2	290	spp_Q	6
parcela2	291	spp_X	7
parcela2	292	spp_C	52
parcela2	293	spp_Y	20
parcela2	294	spp_C	35
parcela2	295	spp_M	48
parcela2	296	spp_X	26
parcela2	297	spp_K	12
parcela3	298	spp_K	3
parcela3	299	spp_N	10
parcela3	300	spp_Q	34
parcela3	301	spp_H	3
parcela3	302	spp_L	42
parcela3	303	spp_S	20
parcela3	304	spp_E	28
parcela3	305	spp_Y	28
parcela3	306	spp_V	27
parcela3	307	spp_U	45
parcela3	308	spp_V	21
parcela3	309	spp_X	1
parcela3	310	spp_C	28
parcela3	311	spp_L	38
parcela3	312	spp_Z	21
parcela3	313	spp_N	13
parcela3	314	spp_P	16
parcela3	315	spp_P	45
parcela3	316	spp_O	38
parcela3	317	spp_S	47
parcela3	318	spp_T	2
parcela3	319	spp_G	47
parcela3	320	spp_T	19
parcela3	321	spp_U	28
parcela3	322	spp_D	40
parcela3	323	spp_U	38
parcela3	324	spp_J	14
parcela3	325	spp_R	6
parcela3	326	spp_U	16
parcela3	327	spp_C	45
parcela3	328	spp_N	18
parcela3	329	spp_M	33
parcela3	330	spp_A	12
parcela3	331	spp_S	33
parcela3	332	spp_T	20
parcela3	333	spp_K	26
parcela3	334	spp_W	50
parcela3	335	spp_J	30
parcela3	336	spp_U	20
parcela3	337	spp_V	11
parcela3	338	spp_W	51
parcela3	339	spp_M	20
parcela3	340	spp_T	19
parcela3	341	spp_O	25
parcela3	342	spp_W	52
parcela3	343	spp_X	16
parcela3	344	spp_U	11
parcela3	345	spp_V	44
parcela3	346	spp_S	26
parcela3	347	spp_S	25
parcela3	348	spp_X	2
parcela3	349	spp_Z	13
parcela3	350	spp_Y	26
parcela3	351	spp_C	9
parcela3	352	spp_Y	43
parcela3	353	spp_X	20
parcela3	354	spp_E	1
parcela3	355	spp_E	5
parcela3	356	spp_C	30
parcela3	357	spp_G	46
parcela3	358	spp_D	26
parcela3	359	spp_H	42
parcela3	360	spp_H	8
parcela3	361	spp_W	13
parcela3	362	spp_Y	37
parcela3	363	spp_D	28
parcela3	364	spp_W	12
parcela3	365	spp_J	2
parcela3	366	spp_X	4
parcela3	367	spp_T	13
parcela3	368	spp_B	16
parcela3	369	spp_T	44
parcela3	370	spp_Q	10
parcela3	371	spp_A	21
parcela3	372	spp_T	14
parcela3	373	spp_L	48
parcela3	374	spp_B	15
parcela3	375	spp_Z	7
parcela3	376	spp_H	5
parcela3	377	spp_I	36
parcela4	378	spp_U	17
parcela4	379	spp_D	23
parcela4	380	spp_C	13
parcela4	381	spp_O	41
parcela4	382	spp_T	20
parcela4	383	spp_A	40
parcela4	384	spp_Y	23
parcela4	385	spp_J	4
parcela4	386	spp_X	13
parcela4	387	spp_G	20
parcela4	388	spp_D	6
parcela4	389	spp_E	33
parcela4	390	spp_X	21
parcela4	391	spp_M	42
parcela4	392	spp_Z	24
parcela4	393	spp_Y	20
parcela4	394	spp_D	6
parcela4	395	spp_D	11
parcela4	396	spp_J	10
parcela4	397	spp_Q	36
parcela4	398	spp_W	1
parcela4	399	spp_D	32
parcela4	400	spp_H	38
parcela4	401	spp_F	12
parcela4	402	spp_J	18
parcela4	403	spp_G	47
parcela4	404	spp_A	29
parcela4	405	spp_Y	16
parcela4	406	spp_E	11
parcela4	407	spp_N	45
parcela4	408	spp_U	51
parcela4	409	spp_G	43
parcela4	410	spp_E	10
parcela4	411	spp_T	1
parcela4	412	spp_O	23
parcela4	413	spp_O	22
parcela4	414	spp_W	15
parcela4	415	spp_I	36
parcela4	416	spp_E	33
parcela4	417	spp_P	38
parcela4	418	spp_H	29
parcela4	419	spp_Q	40
parcela4	420	spp_C	2
parcela4	421	spp_W	48
parcela4	422	spp_G	54
parcela4	423	spp_Q	15
parcela4	424	spp_S	33
parcela4	425	spp_J	3
parcela4	426	spp_Z	34
parcela4	427	spp_T	53
parcela4	428	spp_P	29
parcela4	429	spp_F	41
parcela4	430	spp_T	52
parcela4	431	spp_Z	21
parcela4	432	spp_R	44
parcela4	433	spp_J	36
parcela4	434	spp_N	31
parcela4	435	spp_D	4
parcela4	436	spp_N	32
parcela4	437	spp_T	32
parcela4	438	spp_Y	4
parcela4	439	spp_W	41
parcela4	440	spp_A	1
parcela4	441	spp_F	1
parcela4	442	spp_D	19
parcela4	443	spp_E	50
parcela4	444	spp_R	8
parcela4	445	spp_C	2
parcela4	446	spp_Y	36
parcela4	447	spp_C	3
parcela4	448	spp_G	17
parcela4	449	spp_J	21
parcela4	450	spp_N	5
parcela4	451	spp_V	20
parcela4	452	spp_P	11
parcela4	453	spp_R	21
parcela4	454	spp_X	25
parcela4	455	spp_Z	35
parcela4	456	spp_H	43
parcela4	457	spp_L	39
parcela4	458	spp_K	52
parcela4	459	spp_Q	50
parcela4	460	spp_P	36
parcela4	461	spp_F	41
parcela4	462	spp_U	33
parcela4	463	spp_Y	22
parcela4	464	spp_D	23
parcela4	465	spp_O	30
parcela4	466	spp_R	37
parcela4	467	spp_L	19
parcela4	468	spp_W	13
parcela4	469	spp_U	28
parcela4	470	spp_W	38
parcela4	471	spp_O	18
parcela4	472	spp_R	37
parcela4	473	spp_G	3
parcela4	474	spp_N	12
parcela4	475	spp_H	54
parcela4	476	spp_K	53
parcela4	477	spp_V	3
parcela4	478	spp_M	12
parcela4	479	spp_T	25
parcela4	480	spp_H	44
parcela5	481	spp_L	2
parcela5	482	spp_M	34
parcela5	483	spp_U	40
parcela5	484	spp_K	35
parcela5	485	spp_V	17
parcela5	486	spp_N	18
parcela5	487	spp_O	36
parcela5	488	spp_W	51
parcela5	489	spp_H	16
parcela5	490	spp_U	15
parcela5	491	spp_Z	21
parcela5	492	spp_Z	40
parcela5	493	spp_W	1
parcela5	494	spp_D	43
parcela5	495	spp_J	32
parcela5	496	spp_H	2
parcela5	497	spp_G	37
parcela5	498	spp_E	14
parcela5	499	spp_Z	16
parcela5	500	spp_I	1
parcela5	501	spp_M	50
parcela5	502	spp_X	34
parcela5	503	spp_B	11
parcela5	504	spp_P	50
parcela5	505	spp_T	43
parcela5	506	spp_Y	41
parcela5	507	spp_A	39
parcela5	508	spp_J	19
parcela5	509	spp_U	52
parcela5	510	spp_M	50
parcela5	511	spp_K	30
parcela5	512	spp_A	13
parcela5	513	spp_P	12
parcela5	514	spp_E	54
parcela5	515	spp_T	35
parcela5	516	spp_S	43
parcela5	517	spp_F	35
parcela5	518	spp_M	42
parcela5	519	spp_F	55
parcela5	520	spp_L	7
parcela5	521	spp_U	18
parcela5	522	spp_P	40
parcela5	523	spp_R	35
parcela5	524	spp_B	49
parcela5	525	spp_C	15
parcela5	526	spp_U	25
parcela5	527	spp_J	8
parcela5	528	spp_L	30
parcela5	529	spp_F	26
parcela5	530	spp_R	7
parcela5	531	spp_K	50
parcela5	532	spp_E	42
parcela5	533	spp_B	50
parcela5	534	spp_K	52
parcela5	535	spp_Y	13
parcela5	536	spp_F	13
parcela5	537	spp_Q	6
parcela5	538	spp_G	4
parcela5	539	spp_K	39
parcela5	540	spp_X	5
parcela5	541	spp_P	12
parcela5	542	spp_I	26
parcela5	543	spp_Y	19
parcela5	544	spp_C	18
parcela5	545	spp_N	46
parcela5	546	spp_V	31
parcela5	547	spp_T	52
parcela5	548	spp_O	25
parcela5	549	spp_H	46
parcela5	550	spp_J	51
parcela5	551	spp_M	36
parcela5	552	spp_P	50
parcela5	553	spp_O	17
parcela5	554	spp_Q	23
parcela5	555	spp_R	11
parcela5	556	spp_K	36
parcela5	557	spp_F	3
parcela5	558	spp_S	52
parcela5	559	spp_O	40
parcela5	560	spp_I	23
parcela5	561	spp_S	5
parcela5	562	spp_P	52
parcela5	563	spp_K	52
parcela5	564	spp_N	40
parcela5	565	spp_K	29
parcela5	566	spp_Z	19
parcela5	567	spp_X	47
parcela5	568	spp_Z	18
parcela5	569	spp_A	11
parcela5	570	spp_L	29
parcela5	571	spp_Y	41
parcela5	572	spp_H	13
parcela5	573	spp_Z	24
parcela5	574	spp_N	19
parcela5	575	spp_X	40
parcela5	576	spp_S	23
parcela5	577	spp_L	42
parcela5	578	spp_U	48
parcela5	579	spp_S	51
parcela5	580	spp_M	48
parcela5	581	spp_G	36
parcela5	582	spp_T	12
parcela5	583	spp_B	33
parcela5	584	spp_J	39
parcela5	585	spp_U	33
parcela5	586	spp_M	9
parcela5	587	spp_M	36
parcela5	588	spp_V	10
parcela5	589	spp_T	47
parcela5	590	spp_G	14
parcela5	591	spp_U	11
parcela5	592	spp_N	11
parcela5	593	spp_Q	29
parcela5	594	spp_R	14
parcela5	595	spp_Q	34
parcela5	596	spp_B	38
parcela5	597	spp_V	3
parcela5	598	spp_N	29
parcela5	599	spp_H	8
parcela5	600	spp_S	22
parcela5	601	spp_P	3
parcela5	602	spp_T	44
parcela6	603	spp_S	8
parcela6	604	spp_P	19
parcela6	605	spp_Y	10
parcela6	606	spp_Q	53
parcela6	607	spp_T	3
parcela6	608	spp_T	38
parcela6	609	spp_X	23
parcela6	610	spp_P	11
parcela6	611	spp_C	30
parcela6	612	spp_S	7
parcela6	613	spp_V	51
parcela6	614	spp_E	38
parcela6	615	spp_B	48
parcela6	616	spp_Z	27
parcela6	617	spp_B	45
parcela6	618	spp_D	33
parcela6	619	spp_W	25
parcela6	620	spp_P	24
parcela6	621	spp_J	10
parcela6	622	spp_O	54
parcela6	623	spp_T	47
parcela6	624	spp_Z	14
parcela6	625	spp_T	14
parcela6	626	spp_O	23
parcela6	627	spp_X	11
parcela6	628	spp_O	11
parcela6	629	spp_Y	21
parcela6	630	spp_T	23
parcela6	631	spp_W	42
parcela6	632	spp_Q	51
parcela6	633	spp_N	15
parcela6	634	spp_D	37
parcela6	635	spp_R	46
parcela6	636	spp_O	12
parcela6	637	spp_V	47
parcela6	638	spp_D	19
parcela6	639	spp_L	39
parcela6	640	spp_U	43
parcela6	641	spp_X	48
parcela6	642	spp_Y	11
parcela6	643	spp_A	48
parcela6	644	spp_J	35
parcela6	645	spp_E	16
parcela6	646	spp_J	4
parcela6	647	spp_C	22
parcela6	648	spp_E	20
parcela6	649	spp_C	22
parcela6	650	spp_A	9
parcela6	651	spp_K	49
parcela6	652	spp_B	54
parcela6	653	spp_R	15
parcela6	654	spp_S	18
parcela6	655	spp_D	44
parcela6	656	spp_E	42
parcela6	657	spp_E	53
parcela6	658	spp_T	48
parcela6	659	spp_M	11
parcela6	660	spp_U	13
parcela6	661	spp_K	22
parcela6	662	spp_X	42
parcela6	663	spp_X	13
parcela6	664	spp_F	9
parcela6	665	spp_Z	44
parcela6	666	spp_L	36
parcela6	667	spp_U	30
parcela6	668	spp_K	7
parcela6	669	spp_S	10
parcela6	670	spp_O	42
parcela6	671	spp_K	21
parcela6	672	spp_I	20
parcela6	673	spp_W	31
parcela6	674	spp_B	7
parcela6	675	spp_U	24
parcela6	676	spp_I	45
parcela6	677	spp_O	37
parcela6	678	spp_Q	29
parcela6	679	spp_Q	49
parcela6	680	spp_A	33
parcela6	681	spp_F	27
parcela6	682	spp_E	44
parcela6	683	spp_J	49
parcela6	684	spp_R	12
parcela6	685	spp_Z	18
parcela6	686	spp_V	40
parcela6	687	spp_K	1
parcela6	688	spp_A	40
parcela6	689	spp_G	55
parcela6	690	spp_N	5
parcela6	691	spp_K	19
parcela6	692	spp_U	47
parcela6	693	spp_G	26
parcela6	694	spp_L	5
parcela6	695	spp_W	47
parcela7	696	spp_T	37
parcela7	697	spp_J	31
parcela7	698	spp_A	22
parcela7	699	spp_R	32
parcela7	700	spp_T	10
parcela7	701	spp_B	5
parcela7	702	spp_D	19
parcela7	703	spp_Q	14
parcela7	704	spp_O	17
parcela7	705	spp_K	10
parcela7	706	spp_W	44
parcela7	707	spp_I	42
parcela7	708	spp_S	13
parcela7	709	spp_V	51
parcela7	710	spp_P	21
parcela7	711	spp_J	32
parcela7	712	spp_B	5
parcela7	713	spp_C	5
parcela7	714	spp_F	16
parcela7	715	spp_N	48
parcela7	716	spp_M	26
parcela7	717	spp_K	52
parcela7	718	spp_S	23
parcela7	719	spp_T	54
parcela7	720	spp_J	4
parcela7	721	spp_P	14
parcela7	722	spp_F	26
parcela7	723	spp_M	6
parcela7	724	spp_S	43
parcela7	725	spp_W	37
parcela7	726	spp_C	20
parcela7	727	spp_I	2
parcela7	728	spp_O	54
parcela7	729	spp_E	21
parcela7	730	spp_T	7
parcela7	731	spp_R	36
parcela7	732	spp_P	2
parcela7	733	spp_D	54
parcela7	734	spp_Y	33
parcela7	735	spp_W	10
parcela7	736	spp_V	40
parcela7	737	spp_N	5
parcela7	738	spp_E	27
parcela7	739	spp_X	17
parcela7	740	spp_G	8
parcela7	741	spp_T	46
parcela7	742	spp_J	16
parcela7	743	spp_Y	4
parcela7	744	spp_W	29
parcela7	745	spp_Y	46
parcela7	746	spp_L	39
parcela7	747	spp_L	23
parcela7	748	spp_Z	29
parcela7	749	spp_Y	19
parcela7	750	spp_F	54
parcela7	751	spp_X	52
parcela7	752	spp_G	16
parcela7	753	spp_Z	46
parcela7	754	spp_N	43
parcela7	755	spp_L	41
parcela7	756	spp_G	48
parcela7	757	spp_Y	3
parcela7	758	spp_A	38
parcela7	759	spp_F	21
parcela7	760	spp_X	27
parcela7	761	spp_Z	11
parcela7	762	spp_T	47
parcela7	763	spp_F	23
parcela7	764	spp_F	55
parcela7	765	spp_A	52
parcela7	766	spp_R	22
parcela7	767	spp_N	3
parcela7	768	spp_T	23
parcela7	769	spp_C	23
parcela7	770	spp_P	37
parcela7	771	spp_M	6
parcela7	772	spp_U	22
parcela7	773	spp_E	26
parcela7	774	spp_O	26
parcela7	775	spp_K	37
parcela7	776	spp_F	52
parcela7	777	spp_H	9
parcela7	778	spp_Y	26
parcela7	779	spp_J	33
parcela7	780	spp_H	41
parcela7	781	spp_B	14
parcela7	782	spp_P	10
parcela7	783	spp_S	44
parcela7	784	spp_S	37
parcela8	785	spp_Q	13
parcela8	786	spp_G	39
parcela8	787	spp_F	49
parcela8	788	spp_V	45
parcela8	789	spp_L	11
parcela8	790	spp_R	34
parcela8	791	spp_E	24
parcela8	792	spp_S	18
parcela8	793	spp_C	16
parcela8	794	spp_P	53
parcela8	795	spp_C	51
parcela8	796	spp_Z	21
parcela8	797	spp_J	36
parcela8	798	spp_H	48
parcela8	799	spp_Z	25
parcela8	800	spp_Z	39
parcela8	801	spp_Q	19
parcela8	802	spp_I	42
parcela8	803	spp_I	31
parcela8	804	spp_Y	44
parcela8	805	spp_E	12
parcela8	806	spp_J	35
parcela8	807	spp_F	44
parcela8	808	spp_M	2
parcela8	809	spp_E	51
parcela8	810	spp_Y	50
parcela8	811	spp_S	49
parcela8	812	spp_K	35
parcela8	813	spp_L	24
parcela8	814	spp_G	18
parcela8	815	spp_B	6
parcela8	816	spp_X	12
parcela8	817	spp_C	44
parcela8	818	spp_B	32
parcela8	819	spp_X	19
parcela8	820	spp_H	18
parcela8	821	spp_I	55
parcela8	822	spp_W	38
parcela8	823	spp_L	28
parcela8	824	spp_L	40
parcela8	825	spp_V	26
parcela8	826	spp_N	50
parcela8	827	spp_U	6
parcela8	828	spp_C	25
parcela8	829	spp_H	41
parcela8	830	spp_O	48
parcela8	831	spp_P	3
parcela8	832	spp_O	15
parcela8	833	spp_Y	47
parcela8	834	spp_X	32
parcela8	835	spp_J	28
parcela8	836	spp_L	8
parcela8	837	spp_P	31
parcela8	838	spp_J	28
parcela8	839	spp_E	6
parcela8	840	spp_H	36
parcela8	841	spp_N	20
parcela8	842	spp_M	23
parcela8	843	spp_J	32
parcela8	844	spp_X	51
parcela8	845	spp_N	3
parcela8	846	spp_T	55
parcela8	847	spp_Y	42
parcela8	848	spp_B	54
parcela8	849	spp_R	34
parcela8	850	spp_H	38
parcela8	851	spp_E	20
parcela8	852	spp_C	1
parcela8	853	spp_F	1
parcela8	854	spp_M	22
parcela8	855	spp_D	45
parcela8	856	spp_S	8
parcela8	857	spp_V	24
parcela8	858	spp_N	26
parcela8	859	spp_H	44
parcela8	860	spp_N	55
parcela8	861	spp_L	1
parcela8	862	spp_J	37
parcela8	863	spp_I	13
parcela8	864	spp_V	3
parcela8	865	spp_U	17
parcela8	866	spp_R	45
parcela8	867	spp_Z	20
parcela8	868	spp_Z	34
parcela8	869	spp_M	9
parcela8	870	spp_C	45
parcela8	871	spp_M	20
parcela8	872	spp_T	41
parcela8	873	spp_K	22
parcela8	874	spp_W	30
parcela8	875	spp_U	31
parcela8	876	spp_P	33
parcela8	877	spp_X	45
parcela8	878	spp_G	37
parcela8	879	spp_R	17
parcela8	880	spp_R	39
parcela8	881	spp_W	50
parcela8	882	spp_T	2
parcela8	883	spp_Z	10
parcela8	884	spp_F	42
parcela8	885	spp_M	11
parcela8	886	spp_Y	32
parcela8	887	spp_G	26
parcela8	888	spp_J	4
parcela8	889	spp_D	15
parcela8	890	spp_M	46
parcela8	891	spp_T	29
parcela8	892	spp_W	6
parcela8	893	spp_P	55
parcela9	894	spp_M	45
parcela9	895	spp_S	7
parcela9	896	spp_K	36
parcela9	897	spp_Z	15
parcela9	898	spp_H	15
parcela9	899	spp_D	52
parcela9	900	spp_K	55
parcela9	901	spp_R	36
parcela9	902	spp_M	32
parcela9	903	spp_G	9
parcela9	904	spp_M	40
parcela9	905	spp_N	55
parcela9	906	spp_N	19
parcela9	907	spp_G	2
parcela9	908	spp_B	52
parcela9	909	spp_G	7
parcela9	910	spp_V	29
parcela9	911	spp_B	50
parcela9	912	spp_T	3
parcela9	913	spp_Q	47
parcela9	914	spp_U	4
parcela9	915	spp_D	6
parcela9	916	spp_C	43
parcela9	917	spp_J	29
parcela9	918	spp_Z	43
parcela9	919	spp_P	14
parcela9	920	spp_T	11
parcela9	921	spp_P	25
parcela9	922	spp_T	20
parcela9	923	spp_L	47
parcela9	924	spp_D	3
parcela9	925	spp_N	53
parcela9	926	spp_P	1
parcela9	927	spp_J	43
parcela9	928	spp_O	9
parcela9	929	spp_Q	21
parcela9	930	spp_G	50
parcela9	931	spp_Q	9
parcela9	932	spp_R	12
parcela9	933	spp_X	44
parcela9	934	spp_W	10
parcela9	935	spp_V	10
parcela9	936	spp_T	30
parcela9	937	spp_W	15
parcela9	938	spp_R	6
parcela9	939	spp_H	30
parcela9	940	spp_M	39
parcela9	941	spp_Y	19
parcela9	942	spp_A	18
parcela9	943	spp_B	51
parcela9	944	spp_K	31
parcela9	945	spp_E	54
parcela9	946	spp_I	55
parcela9	947	spp_N	27
parcela9	948	spp_N	24
parcela9	949	spp_J	42
parcela9	950	spp_L	41
parcela9	951	spp_M	1
parcela9	952	spp_U	51
parcela9	953	spp_Q	46
parcela9	954	spp_F	21
parcela9	955	spp_W	55
parcela9	956	spp_L	43
parcela9	957	spp_F	31
parcela9	958	spp_Z	38
parcela9	959	spp_F	53
parcela9	960	spp_Z	17
parcela9	961	spp_R	24
parcela9	962	spp_U	13
parcela9	963	spp_I	34
parcela9	964	spp_Z	50
parcela9	965	spp_X	34
parcela9	966	spp_B	2
parcela9	967	spp_O	7
parcela9	968	spp_A	47
parcela9	969	spp_F	41
parcela9	970	spp_F	16
parcela9	971	spp_V	43
parcela9	972	spp_E	24
parcela9	973	spp_L	5
parcela9	974	spp_U	55
parcela9	975	spp_R	43
parcela9	976	spp_A	12
parcela9	977	spp_V	13
parcela9	978	spp_Z	53
parcela9	979	spp_X	2
parcela9	980	spp_G	48
parcela9	981	spp_D	30
parcela9	982	spp_S	1
parcela9	983	spp_X	48
parcela9	984	spp_R	4
parcela9	985	spp_U	8
parcela9	986	spp_O	38
parcela9	987	spp_K	33
parcela9	988	spp_V	42
parcela9	989	spp_Q	2
parcela9	990	spp_M	48
parcela9	991	spp_N	50
parcela9	992	spp_Y	53
parcela9	993	spp_S	12
parcela9	994	spp_B	33
parcela9	995	spp_R	49
parcela9	996	spp_L	24
